Wavelength,Flux,BestFit,SkyFlux
4427.922,68.276,67.757,6.990
4428.942,70.754,68.344,6.694
4429.962,69.178,70.081,6.767
4430.982,68.835,70.441,6.255
4432.003,69.217,69.587,5.417
4433.023,67.952,69.013,5.963
4434.044,69.323,68.894,5.623
4435.065,69.360,67.760,5.576
4436.086,64.329,65.376,5.514
4437.108,64.526,64.666,5.297
4438.130,68.679,66.886,5.818
4439.152,70.531,69.977,6.704
4440.174,69.811,71.252,6.713
4441.197,69.303,70.888,6.236
4442.219,69.036,69.784,5.748
4443.242,66.822,67.354,5.263
4444.266,63.695,65.271,5.325
4445.289,63.672,65.618,5.491
4446.313,68.085,67.574,6.440
4447.337,69.057,69.568,7.568
4448.361,69.541,70.117,5.774
4449.385,70.319,68.842,5.416
4450.410,67.177,68.933,6.614
4451.435,67.541,68.885,6.719
4452.460,67.831,68.317,5.946
4453.485,69.748,68.625,4.935
4454.511,71.653,68.917,4.310
4455.536,67.063,65.344,4.613
4456.562,64.017,63.113,5.444
4457.589,62.916,63.645,5.831
4458.615,62.509,65.331,5.687
4459.642,69.040,66.124,5.918
4460.669,67.947,65.569,5.722
4461.696,68.914,65.350,4.757
4462.724,64.615,65.798,5.077
4463.751,67.479,66.345,5.054
4464.779,68.920,67.221,5.637
4465.808,68.718,68.097,6.201
4466.836,68.733,68.310,5.134
4467.865,71.451,67.839,4.858
4468.893,69.671,67.384,5.550
4469.923,66.112,66.499,5.965
4470.952,66.303,65.846,6.234
4471.982,68.991,66.741,6.530
4473.011,70.910,68.895,6.354
4474.041,69.601,69.909,6.078
4475.072,68.629,71.209,6.085
4476.102,71.795,71.265,6.054
4477.133,70.325,69.889,6.485
4478.164,69.314,69.793,7.028
4479.195,66.871,71.671,6.983
4480.227,73.876,71.185,5.873
4481.259,70.517,69.623,5.272
4482.290,68.031,67.058,5.994
4483.323,64.502,65.183,5.779
4484.355,65.925,65.663,5.723
4485.388,70.473,68.222,5.948
4486.421,70.891,70.234,5.860
4487.454,71.449,70.855,5.911
4488.487,71.375,70.804,6.101
4489.521,70.234,69.453,6.353
4490.555,69.955,67.663,6.374
4491.589,68.499,67.135,5.939
4492.623,67.549,68.173,5.997
4493.658,70.861,69.395,5.746
4494.693,71.934,69.340,5.610
4495.728,67.741,68.728,6.560
4496.763,66.461,68.314,7.271
4497.799,68.520,68.536,5.664
4498.834,70.215,69.682,4.638
4499.870,70.817,70.606,5.332
